41,"hát cho mọi người","Thật tình cờ ngày hôm nay nơi đây Anh em ta được biết...",52207,29,"Quốc An",""
42,"không cảm xúc","Bao nhiêu lâu ta không gặp nhau Bao nhiêu lâu ta không thấy...",57066,48,"Nguyễn Đình Vũ",""
43,"ngỡ","Anh bỗng thấy nhớ em nhiềuAnh thấy lòng chợt lẻ loi Cô đơn...",55887,44,"Khắc Việt",""
44,"em của ngày hôm qua","Liệu rằng chia tay trong em có quên được câu ca. Tình...",57761,51,"Sơn Tùng M-TP",""
45,"anh muốn em sống sao","Từ sâu trong đôi mắt này  anh hờ hững ko như bao...",57443,50,"Chi Dân",""
46,"về đâu mái tóc người thương","Hồn lỡ sa vào đôi mắt em  chiều nao xõa tóc ngồi bên rèm...",55663,43,"Hoài Linh",""
47,"bay","Cho bao nhiêu bước chân đêm nay rung lên nhẹ nhàng Cho bao...",55969,45,"Nguyễn Hải Phong",""
48,"đoạn đường vắng","Vẫn biết là anh  đi sẽ không quay về. Vẫn biết là...",56702,47,"Khánh Đơn",""
49,"anh","Một lời anh không muốn nói Là một mai hai ta không cách...",55207,42,"Xuân Phương",""
50,"cơn mưa ngang qua","Cơn mưa đi ngang qua Đừng làm rơi thêm  thêm  thêm  nhiều giọt...",57732,51,"Sơn Tùng M-TP",""
51,"dấu mưa","Một cơn mưa đi qua để lại… những ký ức anh và...",57507,50,"Toàn Thắng",""
52,"nắng ấm xa dần","Nắng ấm xa dần rồi.Nắng ấm xa dần rồi.Nắng ấm xa dần...",57846,51,"Sơn Tùng M-TP",""
53,"nơi tình yêu bắt đầu","Ta quen nhau đã bao lâu rồi  hỡi đêm đêm có hay Mà...",57900,51,"Tiến Minh",""
54,"chim trắng mồ côi","Tình Anh như con nước sông dài Con nước về cho cây trái...",52339,29,"Minh Vy",""
55,"miền cát trắng","Một mình anh lang thang trên phố nhớ mùa mưa qua Còn mình...",52053,29,"Lê Quang",""
56,"nụ cười không vui","Từ ngày mình xa rời nhau thì anh đã cố giấu Những...",57155,48,"Khánh Đơn",""
57,"anh nhớ em","Đêm qua từng đêm dài   anh mong người quay vềVề với...",55210,42,"Bảo Thạch",""
58,"nếu là anh","Nếu là anh thì anh sẽ. Dành cho em những ngày hạnh...",57616,50,"Bảo Thạch",""
59,"chuyện như chưa bắt đầu","Mưa rơi trên nỗi đau nào lòng chợt thấy nghẹn ngào vì...",56670,47,"Hoàng Nhã",""
60,"bạc trắng tình đời","Ngày mai tôi sẽ cố quên người Cho dù em có quay về...",58388,53,"Minh Khang",""
61,"hãy hát lên","Gió vẫn còn gọi mùa thu đến khắp trời. Nắng vẫn còn...",51749,29,"Vũ Quốc Việt",""
62,"em yêu anh","Một người đi  chắc sẽ không quay trở lại Một người mang  nỗi...",57548,50,"Khánh Đơn",""
63,"người ấy","Hôm qua anh thấy...Ôi người ấy  đang trong tay với cô nào...",57130,48,"Trịnh Thăng Bình",""
64,"nỗi buồn mẹ tôi","Đêm thức thâu đêm  mẹ may chiếc áo cho con áo nào sờn vai ...",54812,40,"Minh Vy",""
65,"thư cuối","Lá thư này em gửi cho anh  còn vụng về còn ngu ngơ…",52821,30,"Hồng Xương Long",""
66,"vầng trăng khóc","Đã không còn người yêu hỡi  ngày xưa ấy đôi ta…",52435,29,"Nguyễn Văn Chung",""
67,"nợ","Có phải em đang cố gắng để ở bên cạnh anh...",56166,45,"Phạm Trưởng",""
68,"hoang mang","Những câu nói trên đầu môi phải chăng người trao…",53565,34,"Võ Hoài Phúc",""
69,"lắng nghe nước mắt","Buổi sáng hôm ấy thấy em chợt khóc Rồi vội vàng lau thật...",57079,48,"Mr. Siro",""
70,"anh khác hay em khác","Có phải em hết yêu anh rồi em hãy nói đi người ơi…",55951,45,"Khắc Việt",""
71,"mưa đã tạnh","Ta đã xa một thời gian mình chia tay đến nay cũng...",57608,50,"Khánh Đơn",""
72,"nhỏ ơi","Lần đầu ta gặp nhỏ trong nắng chiều bay bay. Ngập ngừng...",56156,45,"Đào Quang Nhật",""
73,"dành cho em","Anh vẫn nhớ đến lúc em hé môi cười",57506,50,"Nguyễn Hoàng Tôn",""
74,"mình yêu nhau đi","Hình như anh có điều muốn nói Cứ ngập ngừng rồi thôi Và có...",58149,52,"Tiên Cookie",""
75,"trăm năm không quên","Không gian mênh mông quá những niềm vui khi xưa vẫn đây...",57182,48,"Đức Thịnh",""
76,"tìm lại bầu trời","Anh khóc vì giờ đây anh đã mất em rồi  anh khóc...",56210,45,"Khắc Việt",""
77,"anh sai rồi","Anh vô tình nhiều lần làm em phải khóc  đã cho em với biết bao nỗi buồn...",56922,48,"Nguyễn Hồng Thuận",""
78,"anh ba khía","Tên của tôi biệt danh anh Ba Khía  sống nơi ruộng đồng…",55477,43,"Sơn Hạ",""
79,"say tình","Rót mãi những chén chua cay…",51548,29,"Nhạc ngoại",""
80,"éo le cuộc tình","Đâu phải có tiền mua được hạnh phúc  đâu phải tình yêu...",56069,45,"Thái Khang",""
81,"lỗi lầm","Có khi nào em buồn em nhớ đến anh  có khi nào…",52772,30,"Minh Khang",""
82,"cô hàng xóm","Vùng ngoại ô tôi có căn nhà tranh  tuy bé nhưng thật xinh…",55269,42,"Lê Minh Bằng",""
83,"trái tim bên lề","Em đã biết bao ngày bên anh…",51557,29,"Phạm Khải Tuấn",""
84,"tình yêu màu nắng","Gọi tên của anh là nắng  để em được làm mây trắng ...",57950,51,"Phạm Thanh Hà",""
85,"trang giấy trắng","Anh nhớ lúc mới biết yêu lần đầu  tình ta trong xanh...",55557,43,"Phạm Trưởng",""
86,"như một giấc mơ","Ngày hôm qua em nói yêu tôi thật nhiều...",54100,37,"Nguyễn Hồng Thuận",""
87,"nơi ấy con tìm về","Ngày con cất tiếng khóc chào đời Ngày mẹ đã nói niềm vui...",58557,53,"Phan Mạnh Quỳnh",""
88,"sầu tím thiệp hồng","Từ lúc quen em chưa nói một lời nào tỏ tình ta mến nhau...",53337,32,"Minh Kỳ  ",""
89,"đứt từng đoạn ruột","Thời gian không làm cho vết thương xe lành",57535,50,"Khánh Đơn",""
90,"có anh ở đây rồi","Nhìn nước mắt em đang rơi vì ai mà lòng anh cứ đau...",58426,53,"Vũ Khắc Anh",""
91,"nô lệ tình yêu","Có lẽ ông trời đã cho mình quen biết nhau Có lẽ...",57628,50,"Hồ Việt Trung",""
92,"khó","Anh lặng nghe biển đêm mênh mang sóng vỗ tràn...",55750,44,"Khắc Việt",""
93,"gọi đò","Gọi đò ơi  ai giúp đưa tôi kịp sang đò...",53283,32,"Hồng Xương Long",""
94,"nếu như anh đến","Làn tóc rối bờ môi khô hàng mi buông mắt đen thật buồn…",55881,44,"Nguyễn Đức Cường",""
95,"nợ duyên","Bóng dáng ai đẹp xinh cho lòng ta đang chìm đắm..",52407,29,"Thái Khang",""
96,"vì yêu","Nắm tay nhau trên đường tung tăng vui ca ngày tháng…",52114,29,"Xuân Hiếu",""
97,"tôn thờ một tình yêu","Từng năm tháng vô tình vì người yêu dối gian mình...",55445,42,"Bằng Cường",""
98,"quên cách yêu","Từ bao lâu không thấy nhớ  em đã không nói",57345,49,"Khánh Đơn",""
99,"trót yêu anh rồi","Chẳng muốn xa anh anh ơi khi em trót yêu anh mất rồi...",55451,42,"Đức Trí  ",""
100,"túp lều lý tưởng","Từ ngày hai đứa yêu nhau mộng ước thật nhiều  từ ngày hai đứa...",54605,39,"Hoàng Thi Thơ",""
101,"anh nhớ em người yêu cũ","Giờ nay em ra sao  không biết em sống như thế nào...",58381,53,"Khánh Đơn",""
102,"cà phê đắng và mưa","Ngồi lặng thinh quán vắng tênh em một mình Chẳng còn anh nhưng...",56282,46,"Nguyễn Văn Chung",""
103,"tìm lại giấc mơ","Đêm đi qua sao tim buốt giá  cơn mưa đêm như cào sâu...",55550,43,"Nguyễn Hồng Thuận",""
104,"cầu vồng sau mưa","Đứng giữa con đường mưa  anh vô tình nhớ một nụ cười...",54913,41,"Nguyễn Văn Chung",""
105,"món quà cuối","Con đường xa lắm sao anh để em đi một mình",57600,50,"Khánh Đơn",""
106,"người thứ ba","Tình mình như giấc mơ  bao phút giây thơ mộng...",55068,41,"Minh Vy",""
107,"chân tình","Mùa xuân vừa đến hoa về trên những bàn tay Và em vừa...",51462,29,"Trần Lê Quỳnh",""
108,"tình cha","Một chiều lang thang mình tôi bước âm thầm…",51055,29,"Quốc Vượng",""
109,"nửa vầng trăng","Có hai nử a vầng trăng tìm nhau cho tròn bóng đêm  có hai người chờ nhau...",56173,45,"Trương Ngọc Ninh",""
110,"chờ em trong đêm","Một mình anh trong đêm thâu  ngắm bầu trời lung linh ánh sao…",55816,44,"Khắc Việt",""
111,"ngã tư đường","Ngã tư đường mình gặp lại nhau  vẫn ánh mắt ta nhìn nhau ngày nào...",56139,45,"Khắc Việt",""
112,"khúc hát mừng sinh nhật","Ngày hôm nay ta cùng hợp hoan nơi đây  mọi người...",54266,38,"Phan Đinh Tùng",""
113,"áo mới cà mau","Nghe nói Cà Mau xa lắm ở cuối cùng bản đồ Việt Nam…",51973,29,"Thanh Sơn",""
114,"đứa bé","Trong đêm một bàn chân bước bé xíu lang thang...",52492,29,"Minh Khang",""
115,"vừa đi vừa khóc","Tình yêu ban đầu tựa như là phép nhiệm màu Hạnh phúc...",58215,52,"Cao Tùng Anh",""
116,"em","Này em có thấu  anh đang mỏi mệt  ngần ấy năm…",56376,46,"Mr. Siro",""
117,"con bướm xuân","Con bướm xinh  con bướm xinh  con bướm đa tình Đùa vui với...",58428,53,"Dật Danh",""
118,"muộn màng","Em xin yêu anh trong giấc mơ  dẫu cho anh trao em…",52791,30,"Nguyễn Nhất Huy",""
119,"taxi","Anh không cần em để cho mắt môi em buồn…",52417,29,"Sĩ Luân",""
120,"xót xa","Đã lâu không còn yêu…",51080,29,"Nguyễn Ngọc Tài",""
121,"khóc cho người đi","Ở lại đây chỉ còn hai chúng ta  nói ra đi những suy tư…",52907,30,"Duy Mạnh",""
122,"điều ước giản đơn","Những lúc em buồn  anh đến bên cạnh muốn cho em bờ vai...",54970,41,"Nguyễn Hồng Thuận",""
123,"tình yêu hoa gió","Ngồi bên hiên ngắm lá rơi nhìn nụ hoa đã phai sắc màu...",55439,42,"Nguyễn Hồng Thuận",""
124,"chuyện ba mùa mưa","Đời từ muôn thuở tiếng mưa có vui bao giờ ...",53691,35,"Minh Kỳ",""
125,"khi người lớn cô đơn","Thành phố bé thế thôi mà tìm hoài chẳng được",57577,50,"Phạm Hồng Phước",""
126,"người tôi yêu","Bao đêm trôi qua chỉ thêm buốt giá con tim. Nhớ hoài dù...",57871,51,"Chi Dân",""
